ref_date_raw,start_year,geo,sex,indicator,value,metric_type,quality_flag,scalar_applied,vector,ref_date,dguid,statistic,uom,scalar_factor
2021-04,2021,Newfoundland and Labrador,Men,Good perceived health,35.9,percent,,False,v1427747051,2021-04,2016A000210,Percentage of persons,Percent,units
2021-04,2021,Newfoundland and Labrador,Men,Good perceived health,27.6,percent,,False,v1427747052,2021-04,2016A000210,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Newfoundland and Labrador,Men,Good perceived health,45.2,percent,,False,v1427747053,2021-04,2016A000210,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Newfoundland and Labrador,Men,Good perceived health,79000.0,number,e,True,v1427747054,2021-04,2016A000210,Number of persons,Number,thousands
2021-04,2021,Newfoundland and Labrador,Men,Good perceived health,59000.0,number,e,True,v1427747055,2021-04,2016A000210,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Newfoundland and Labrador,Men,Good perceived health,98000.0,number,e,True,v1427747056,2021-04,2016A000210,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Newfoundland and Labrador,Men,Fair or poor perceived health,17.3,percent,,False,v1427747057,2021-04,2016A000210,Percentage of persons,Percent,units
2021-04,2021,Newfoundland and Labrador,Men,Fair or poor perceived health,11.3,percent,,False,v1427747058,2021-04,2016A000210,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Newfoundland and Labrador,Men,Fair or poor perceived health,25.7,percent,,False,v1427747059,2021-04,2016A000210,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Newfoundland and Labrador,Men,Fair or poor perceived health,,number,f,True,v1427747060,2021-04,2016A000210,Number of persons,Number,thousands
2021-04,2021,Newfoundland and Labrador,Men,Fair or poor perceived health,,number,f,True,v1427747061,2021-04,2016A000210,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Newfoundland and Labrador,Men,Fair or poor perceived health,,number,f,True,v1427747062,2021-04,2016A000210,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Newfoundland and Labrador,Women,Excellent or very good perceived health,59.2,percent,,False,v1427747063,2021-04,2016A000210,Percentage of persons,Percent,units
2021-04,2021,Newfoundland and Labrador,Women,Excellent or very good perceived health,51.6,percent,,False,v1427747064,2021-04,2016A000210,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Newfoundland and Labrador,Women,Excellent or very good perceived health,66.4,percent,,False,v1427747065,2021-04,2016A000210,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Newfoundland and Labrador,Women,Excellent or very good perceived health,134000.0,number,e,True,v1427747066,2021-04,2016A000210,Number of persons,Number,thousands
2021-04,2021,Newfoundland and Labrador,Women,Excellent or very good perceived health,117000.0,number,e,True,v1427747067,2021-04,2016A000210,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Newfoundland and Labrador,Women,Excellent or very good perceived health,150000.0,number,e,True,v1427747068,2021-04,2016A000210,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Newfoundland and Labrador,Women,Good perceived health,30.2,percent,,False,v1427747069,2021-04,2016A000210,Percentage of persons,Percent,units
2021-04,2021,Newfoundland and Labrador,Women,Good perceived health,23.6,percent,,False,v1427747070,2021-04,2016A000210,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Newfoundland and Labrador,Women,Good perceived health,37.7,percent,,False,v1427747071,2021-04,2016A000210,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Newfoundland and Labrador,Women,Good perceived health,68000.0,number,e,True,v1427747072,2021-04,2016A000210,Number of persons,Number,thousands
2021-04,2021,Newfoundland and Labrador,Women,Good perceived health,52000.0,number,e,True,v1427747073,2021-04,2016A000210,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Newfoundland and Labrador,Women,Good perceived health,84000.0,number,e,True,v1427747074,2021-04,2016A000210,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Newfoundland and Labrador,Women,Fair or poor perceived health,10.6,percent,,False,v1427747075,2021-04,2016A000210,Percentage of persons,Percent,units
2021-04,2021,Newfoundland and Labrador,Women,Fair or poor perceived health,6.6,percent,,False,v1427747076,2021-04,2016A000210,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Newfoundland and Labrador,Women,Fair or poor perceived health,16.6,percent,,False,v1427747077,2021-04,2016A000210,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Newfoundland and Labrador,Women,Fair or poor perceived health,,number,f,True,v1427747078,2021-04,2016A000210,Number of persons,Number,thousands
2021-04,2021,Newfoundland and Labrador,Women,Fair or poor perceived health,,number,f,True,v1427747079,2021-04,2016A000210,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Newfoundland and Labrador,Women,Fair or poor perceived health,,number,f,True,v1427747080,2021-04,2016A000210,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
