ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,metric_type,quality_flag
2023/2024,2023,Nova Scotia,Both sexes,"Total, 18 years and over",Mood disorder,17.6,,,percent,
2019/2020,2019,Nova Scotia,Both sexes,"Total, 18 years and over",Anxiety disorder,15.3,,,percent,
2021/2022,2021,Nova Scotia,Both sexes,"Total, 18 years and over",Anxiety disorder,16.2,,,percent,
2023/2024,2023,Nova Scotia,Both sexes,"Total, 18 years and over",Anxiety disorder,21.7,,,percent,
2019/2020,2019,Nova Scotia,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",30.0,,,percent,
2021/2022,2021,Nova Scotia,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",31.4,,,percent,
2023/2024,2023,Nova Scotia,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",31.2,,,percent,
2019/2020,2019,Nova Scotia,Both sexes,"Total, 18 years and over",Heavy drinking,21.6,,,percent,
2021/2022,2021,Nova Scotia,Both sexes,"Total, 18 years and over",Heavy drinking,21.8,,,percent,
2023/2024,2023,Nova Scotia,Both sexes,"Total, 18 years and over",Heavy drinking,22.2,,,percent,
2019/2020,2019,Nova Scotia,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",75.7,,,percent,
2021/2022,2021,Nova Scotia,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",71.6,,,percent,
2023/2024,2023,Nova Scotia,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",62.8,,,percent,
2019/2020,2019,Nova Scotia,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",69.4,,,percent,
2021/2022,2021,Nova Scotia,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",58.1,,,percent,
2023/2024,2023,Nova Scotia,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",50.0,,,percent,
2019/2020,2019,Nova Scotia,Males,"Total, 18 years and over","Perceived mental health, fair or poor",11.0,,,percent,
2021/2022,2021,Nova Scotia,Males,"Total, 18 years and over","Perceived mental health, fair or poor",12.9,,,percent,
2023/2024,2023,Nova Scotia,Males,"Total, 18 years and over","Perceived mental health, fair or poor",18.4,,,percent,
2019/2020,2019,Nova Scotia,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",16.8,,,percent,
2021/2022,2021,Nova Scotia,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",18.1,,,percent,
2023/2024,2023,Nova Scotia,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",20.3,,,percent,
2019/2020,2019,Nova Scotia,Males,"Total, 18 years and over",Mood disorder,10.5,,,percent,
2021/2022,2021,Nova Scotia,Males,"Total, 18 years and over",Mood disorder,9.6,,,percent,
2023/2024,2023,Nova Scotia,Males,"Total, 18 years and over",Mood disorder,14.6,,,percent,
2019/2020,2019,Nova Scotia,Males,"Total, 18 years and over",Anxiety disorder,10.9,,,percent,
2021/2022,2021,Nova Scotia,Males,"Total, 18 years and over",Anxiety disorder,11.7,,,percent,
2023/2024,2023,Nova Scotia,Males,"Total, 18 years and over",Anxiety disorder,17.1,,,percent,
2019/2020,2019,Nova Scotia,Males,"Total, 18 years and over","Cannabis use, past 12 months",34.4,,,percent,
2021/2022,2021,Nova Scotia,Males,"Total, 18 years and over","Cannabis use, past 12 months",36.1,,,percent,
2023/2024,2023,Nova Scotia,Males,"Total, 18 years and over","Cannabis use, past 12 months",36.0,,,percent,
2019/2020,2019,Nova Scotia,Males,"Total, 18 years and over",Heavy drinking,25.2,,,percent,
2021/2022,2021,Nova Scotia,Males,"Total, 18 years and over",Heavy drinking,27.5,,,percent,
2023/2024,2023,Nova Scotia,Males,"Total, 18 years and over",Heavy drinking,27.4,,,percent,
2019/2020,2019,Nova Scotia,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",76.0,,,percent,
2021/2022,2021,Nova Scotia,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",72.2,,,percent,
2023/2024,2023,Nova Scotia,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",62.2,,,percent,
2019/2020,2019,Nova Scotia,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",60.1,,,percent,
2021/2022,2021,Nova Scotia,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",51.1,,,percent,
2023/2024,2023,Nova Scotia,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",45.8,,,percent,
2019/2020,2019,Nova Scotia,Females,"Total, 18 years and over","Perceived mental health, fair or poor",14.6,,,percent,
2021/2022,2021,Nova Scotia,Females,"Total, 18 years and over","Perceived mental health, fair or poor",16.3,,,percent,
2023/2024,2023,Nova Scotia,Females,"Total, 18 years and over","Perceived mental health, fair or poor",20.9,,,percent,
2019/2020,2019,Nova Scotia,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",21.0,,,percent,
2021/2022,2021,Nova Scotia,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",22.9,,,percent,
2023/2024,2023,Nova Scotia,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",25.9,,,percent,
2019/2020,2019,Nova Scotia,Females,"Total, 18 years and over",Mood disorder,19.6,,,percent,
2021/2022,2021,Nova Scotia,Females,"Total, 18 years and over",Mood disorder,17.1,,,percent,
2023/2024,2023,Nova Scotia,Females,"Total, 18 years and over",Mood disorder,20.4,,,percent,
2019/2020,2019,Nova Scotia,Females,"Total, 18 years and over",Anxiety disorder,19.5,,,percent,
2021/2022,2021,Nova Scotia,Females,"Total, 18 years and over",Anxiety disorder,20.4,,,percent,
2023/2024,2023,Nova Scotia,Females,"Total, 18 years and over",Anxiety disorder,26.0,,,percent,
2019/2020,2019,Nova Scotia,Females,"Total, 18 years and over","Cannabis use, past 12 months",26.0,,,percent,
2021/2022,2021,Nova Scotia,Females,"Total, 18 years and over","Cannabis use, past 12 months",27.2,,,percent,
2023/2024,2023,Nova Scotia,Females,"Total, 18 years and over","Cannabis use, past 12 months",26.7,,,percent,
2019/2020,2019,Nova Scotia,Females,"Total, 18 years and over",Heavy drinking,18.3,,,percent,
2021/2022,2021,Nova Scotia,Females,"Total, 18 years and over",Heavy drinking,16.5,,,percent,
2023/2024,2023,Nova Scotia,Females,"Total, 18 years and over",Heavy drinking,17.3,,,percent,
2019/2020,2019,Nova Scotia,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",75.4,,,percent,
2021/2022,2021,Nova Scotia,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",71.2,,,percent,
2023/2024,2023,Nova Scotia,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",63.3,,,percent,
2019/2020,2019,New Brunswick,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",61.1,,,percent,
2021/2022,2021,New Brunswick,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",53.9,,,percent,
2023/2024,2023,New Brunswick,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",49.2,,,percent,
2019/2020,2019,New Brunswick,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",10.8,,,percent,
2021/2022,2021,New Brunswick,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",14.8,,,percent,
2023/2024,2023,New Brunswick,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",17.4,,,percent,
2019/2020,2019,New Brunswick,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",19.1,,,percent,
2021/2022,2021,New Brunswick,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",20.4,,,percent,
2023/2024,2023,New Brunswick,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",23.0,,,percent,
2019/2020,2019,New Brunswick,Both sexes,"Total, 18 years and over",Mood disorder,12.0,,,percent,
2021/2022,2021,New Brunswick,Both sexes,"Total, 18 years and over",Mood disorder,13.1,,,percent,
2023/2024,2023,New Brunswick,Both sexes,"Total, 18 years and over",Mood disorder,15.7,,,percent,
2019/2020,2019,New Brunswick,Both sexes,"Total, 18 years and over",Anxiety disorder,13.5,,,percent,
2021/2022,2021,New Brunswick,Both sexes,"Total, 18 years and over",Anxiety disorder,15.8,,,percent,
2023/2024,2023,New Brunswick,Both sexes,"Total, 18 years and over",Anxiety disorder,,,,percent,..
2019/2020,2019,New Brunswick,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",24.6,,,percent,
2021/2022,2021,New Brunswick,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",24.7,,,percent,
2023/2024,2023,New Brunswick,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",25.2,,,percent,
2019/2020,2019,New Brunswick,Both sexes,"Total, 18 years and over",Heavy drinking,19.7,,,percent,
2021/2022,2021,New Brunswick,Both sexes,"Total, 18 years and over",Heavy drinking,21.1,,,percent,
2023/2024,2023,New Brunswick,Both sexes,"Total, 18 years and over",Heavy drinking,21.1,,,percent,
2019/2020,2019,New Brunswick,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",72.5,,,percent,
2021/2022,2021,New Brunswick,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",72.5,,,percent,
