ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,metric_type,quality_flag,vector,ref_date,dguid,uom,scalar_factor
2015,2015,Alberta,Males,50 to 64 years,"Positive mental health, flourishing",81.4,,,percent,,v111451788,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,50 to 64 years,"Positive mental health, flourishing",88.9,,,percent,,v111451789,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,50 to 64 years,Suicidal thoughts (15 years and over),,37400.0,,,,v111451792,2015,2016A000248,Number,units
2015,2015,Alberta,Males,50 to 64 years,Suicidal thoughts (15 years and over),,,69600.0,,,v111451793,2015,2016A000248,Number,units
2015,2015,Alberta,Males,50 to 64 years,Suicidal thoughts (15 years and over),13.5,,,percent,e,v111451794,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,50 to 64 years,Suicidal thoughts (15 years and over),9.5,,,percent,e,v111451795,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,50 to 64 years,Suicidal thoughts (15 years and over),17.6,,,percent,e,v111451796,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,65 years and over,Consultation with a health professional about emotional or mental health,,19600.0,,,,v111451820,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,65 years and over,Consultation with a health professional about emotional or mental health,,,35800.0,,,v111451821,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,65 years and over,Consultation with a health professional about emotional or mental health,6.5,,,percent,,v111451822,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,65 years and over,Consultation with a health professional about emotional or mental health,4.6,,,percent,,v111451823,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,65 years and over,Consultation with a health professional about emotional or mental health,8.3,,,percent,,v111451824,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,65 years and over,"Positive mental health, flourishing",,329000.0,,,,v111451827,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,65 years and over,"Positive mental health, flourishing",,,360500.0,,,v111451828,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,65 years and over,"Positive mental health, flourishing",80.5,,,percent,,v111451829,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,65 years and over,"Positive mental health, flourishing",77.5,,,percent,,v111451830,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,65 years and over,"Positive mental health, flourishing",83.6,,,percent,,v111451831,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,65 years and over,Suicidal thoughts (15 years and over),,31200.0,,,,v111451834,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,65 years and over,Suicidal thoughts (15 years and over),,,52100.0,,,v111451835,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,65 years and over,Suicidal thoughts (15 years and over),9.8,,,percent,,v111451836,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,65 years and over,Suicidal thoughts (15 years and over),7.3,,,percent,,v111451837,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,65 years and over,Suicidal thoughts (15 years and over),12.2,,,percent,,v111451838,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,65 years and over,Consultation with a health professional about emotional or mental health,,13900.0,,,,v111451862,2015,2016A000248,Number,units
2015,2015,Alberta,Females,65 years and over,Consultation with a health professional about emotional or mental health,,,28200.0,,,v111451863,2015,2016A000248,Number,units
2015,2015,Alberta,Females,65 years and over,Consultation with a health professional about emotional or mental health,9.1,,,percent,e,v111451864,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,65 years and over,Consultation with a health professional about emotional or mental health,6.1,,,percent,e,v111451865,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,65 years and over,Consultation with a health professional about emotional or mental health,12.2,,,percent,e,v111451866,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,65 years and over,"Positive mental health, flourishing",,168300.0,,,,v111451869,2015,2016A000248,Number,units
2015,2015,Alberta,Females,65 years and over,"Positive mental health, flourishing",,,194000.0,,,v111451870,2015,2016A000248,Number,units
2015,2015,Alberta,Females,65 years and over,"Positive mental health, flourishing",78.7,,,percent,,v111451871,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,65 years and over,"Positive mental health, flourishing",74.3,,,percent,,v111451872,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,65 years and over,"Positive mental health, flourishing",83.2,,,percent,,v111451873,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,65 years and over,Suicidal thoughts (15 years and over),,19100.0,,,,v111451876,2015,2016A000248,Number,units
