ref_date_raw,start_year,geo,sex,age_group,indicator,characteristic,value,metric_type,quality_flag,scalar_applied,vector,ref_date,dguid,uom,scalar_factor
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns",Number of persons,3000700.0,number,,False,v114653380,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns","Low 95% confidence interval, number of persons",2865400.0,number,,False,v114653381,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns","High 95% confidence interval, number of persons",3110500.0,number,,False,v114653382,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns",Percent,20.8,percent,,False,v114653383,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns","Low 95% confidence interval, percent",20.0,percent,,False,v114653384,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns","High 95% confidence interval, percent",21.7,percent,,False,v114653385,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, family",Number of persons,1734200.0,number,,False,v114653387,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, family","Low 95% confidence interval, number of persons",1653800.0,number,,False,v114653388,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, family","High 95% confidence interval, number of persons",1835900.0,number,,False,v114653389,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, family",Percent,12.0,percent,,False,v114653390,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, family","Low 95% confidence interval, percent",11.4,percent,,False,v114653391,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, family","High 95% confidence interval, percent",12.7,percent,,False,v114653392,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)",Number of persons,1078500.0,number,,False,v114653394,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)","Low 95% confidence interval, number of persons",1016400.0,number,,False,v114653395,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)","High 95% confidence interval, number of persons",1150900.0,number,,False,v114653396,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)",Percent,21.5,percent,,False,v114653397,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)","Low 95% confidence interval, percent",20.2,percent,,False,v114653398,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)","High 95% confidence interval, percent",22.9,percent,,False,v114653399,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time",Number of persons,1442300.0,number,,False,v114653401,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time","Low 95% confidence interval, number of persons",1353000.0,number,,False,v114653402,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time","High 95% confidence interval, number of persons",1530900.0,number,,False,v114653403,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time",Percent,10.0,percent,,False,v114653404,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time","Low 95% confidence interval, percent",9.4,percent,,False,v114653405,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time","High 95% confidence interval, percent",10.7,percent,,False,v114653406,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, health",Number of persons,922400.0,number,,False,v114653408,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, health","Low 95% confidence interval, number of persons",870100.0,number,,False,v114653409,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, health","High 95% confidence interval, number of persons",986300.0,number,,False,v114653410,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, health",Percent,6.4,percent,,False,v114653411,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, health","Low 95% confidence interval, percent",6.0,percent,,False,v114653412,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, health","High 95% confidence interval, percent",6.8,percent,,False,v114653413,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, other",Number of persons,452500.0,number,,False,v114653415,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, other","Low 95% confidence interval, number of persons",408400.0,number,,False,v114653416,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, other","High 95% confidence interval, number of persons",506100.0,number,,False,v114653417,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, other",Percent,3.1,percent,,False,v114653418,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, other","Low 95% confidence interval, percent",2.8,percent,,False,v114653419,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, other","High 95% confidence interval, percent",3.5,percent,,False,v114653420,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, none",Number of persons,1829300.0,number,,False,v114653422,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, none","Low 95% confidence interval, number of persons",1746000.0,number,,False,v114653423,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, none","High 95% confidence interval, number of persons",1932200.0,number,,False,v114653424,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, none",Percent,12.7,percent,,False,v114653425,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, none","Low 95% confidence interval, percent",12.1,percent,,False,v114653426,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, none","High 95% confidence interval, percent",13.4,percent,,False,v114653427,2016,,Percent,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent",Number of persons,11781200.0,number,,False,v114653429,2016,,Number,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent","Low 95% confidence interval, number of persons",11653100.0,number,,False,v114653430,2016,,Number,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent","High 95% confidence interval, number of persons",11914800.0,number,,False,v114653431,2016,,Number,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent",Percent,78.8,percent,,False,v114653432,2016,,Percent,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent","Low 95% confidence interval, percent",78.0,percent,,False,v114653433,2016,,Percent,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent","High 95% confidence interval, percent",79.6,percent,,False,v114653434,2016,,Percent,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent",Number of persons,13282100.0,number,,False,v114653436,2016,,Number,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent","Low 95% confidence interval, number of persons",13184300.0,number,,False,v114653437,2016,,Number,units
